場所名稱,住址
萬巒國中,屏東縣萬巒鄉萬全村褒忠路5號2樓
台灣菸酒股份有限公司 屏東酒廠,屏東縣內埔鄉豐田村建國路34號
台灣菸酒股份有限公司 屏東菸廠,屏東縣內埔鄉豐田村建國路36號
屏東縣政府警察局 內埔分局,屏東縣內埔鄉內埔村中興路158號
屏東縣內埔鄉公所,屏東縣內埔鄉內埔村廣濟路26號
屏東縣內埔鄉衛生所,屏東縣內埔鄉內埔村中興路191號
客家委員會 客家文化發展中心 (六堆客家文化園區),屏東縣內埔鄉建興村信義路588號
高雄榮民總醫院 屏東分院,屏東縣內埔鄉龍泉村昭勝路1號
台灣青啤公司龍泉啤酒廠,屏東縣內埔鄉東寧村北寧路448號
竹田鄉衛生所,屏東縣竹田鄉竹田村中山路25號1樓
竹田鄉鄉公所,屏東縣竹田鄉竹田村中正路123號
新埤鄉衛生所,屏東縣新埤鄉新埤村中正路38號
枋寮鄉衛生所,屏東縣枋寮鄉枋寮村德興路77號
屏東縣政府警察局枋寮分局,屏東縣枋寮鄉枋寮村中興路33號
枋寮鄉公所,屏東縣枋寮鄉枋寮村德興路36號
台灣土地銀行,屏東縣枋寮鄉隆山村隆山路111號2樓
縣立枋寮高中,屏東縣枋寮鄉新龍村義民路3號
枋寮鄉地政事務所,屏東縣枋寮鄉枋寮村德興路32號1樓
建興國小,屏東縣枋寮鄉人和村建興路39號
東海派出所,屏東縣枋寮鄉東海村東林路717號
新園鄉衛生所,屏東縣新園鄉仙吉路89-2號2樓
新園鄉鄉公所,屏東縣新園鄉仙吉路148號2樓
新園國小,屏東縣新園鄉媽祖路49號(保健室)
崁頂鄉公所,屏東縣崁頂鄉崁頂村中正路230號
崁頂鄉衛生所,屏東縣崁頂鄉崁頂村興農路29-9號
崁頂垃圾資源回收焚化廠,屏東縣崁頂鄉中正路881號
林邊鄉衛生所,屏東縣林邊鄉興林村和平路45號
南州鄉公所,屏東縣南州鄉仁里村仁里路11號
南州火車站,屏東縣南州鄉仁里村仁里路86號
南州鄉衛生所,屏東縣南州鄉溪南村人和路239號
慈惠醫護管理專科學校,屏東縣南州鄉三民路367號
佳冬鄉公所,屏東縣佳冬鄉佳冬村佳昌路2號
佳冬鄉衛生所,屏東縣佳冬鄉六根村佳和路87-1號
警察局枋寮分局佳冬分駐所,屏東縣佳冬鄉六根村佳和路87號
國立佳冬高級農業職業學校,屏東縣佳冬鄉佳冬村佳農街67號
琉球鄉衛生所,屏東縣琉球鄉中山路51號
琉球鄉鄉公所　,屏東縣琉球鄉行政路12號
車城鄉衛生所,屏東縣車城鄉福安村福安路2-30號2樓
車城鄉鄉公所,屏東縣車城鄉福安村中山路54號2樓
國立海洋生物博物館　,屏東縣車城鄉後灣村後灣路2號
滿州鄉衛生所,屏東縣滿州鄉中山路31號
滿州鄉鄉公所,屏東縣滿州鄉中山路43號
枋山鄉鄉公所,屏東縣枋山鄉枋山村枋山路82號
枋山鄉衛生所,屏東縣枋山鄉枋山村枋山路98號
三地門鄉衛生所,屏東縣三地門鄉三地村1鄰行政街4號1樓
霧台鄉衛生所,屏東縣霧台鄉霧台村68號
霧台鄉公所,屏東縣霧台鄉霧台村73號
瑪家鄉衛生所,屏東縣瑪家鄉北葉村86號
瑪家鄉公所,屏東縣瑪家鄉北葉村85號
泰武衛生所,屏東縣泰武鄉佳平村179號
泰武鄉公所,屏東縣泰武鄉佳平村168號
來義鄉衛生所,屏東縣來義鄉古樓村中正路90號2樓
來義鄉鄉公所,屏東縣來義鄉古樓村中正路92號1樓
春日鄉衛生所,屏東縣春日鄉春日村176號
春日鄉鄉公所,屏東縣春日鄉春日村322號
屏東縣獅子鄉衛生所,屏東縣獅子鄉楓林村31號
雙流國家森林遊樂區,屏東縣獅子鄉草埔村30號
牡丹鄉衛生所,屏東縣牡丹鄉石門村石門路19號
牡丹鄉鄉公所,屏東縣牡丹鄉石門村石門路26號
彰化縣二水鄉公所,彰化縣二水鄉南通路二段764號
彰化縣二水鄉戶政事務所,彰化縣二水鄉員集路三段472號
彰化縣二水鄉圖書館,彰化縣二水鄉聖化村溪邊巷72號
彰化縣二林鎮立圖書館,彰化縣二林鎮斗苑路4段626號
彰化縣二林地政事務所,彰化縣二林鎮豐田里斗苑路4段689號
彰化縣大村鄉公所,彰化縣大村鄉大村村中正西路338號
台灣鐵路管理局大村站,彰化縣大村鄉過溝村福進路100號
彰化縣大村鄉立圖書館,彰化縣大村鄉慶安路429巷25號
彰化縣大城鄉立圖書館,彰化縣大城鄉東城村中平路163號
彰化縣大城鄉公所,彰化縣大城鄉東城村中平路185號
彰化縣北斗鎮公所,彰化縣北斗鎮公所街
彰化縣北斗鎮地政事務所,彰化縣北斗鎮地政路416號
彰化縣北斗鎮戶政事務所,彰化縣北斗鎮地政路466號
彰化縣永靖鄉公所,彰化縣永靖鄉永西村瑚璉路230號
彰化縣永靖鄉立托兒所,彰化縣永靖鄉港西村永社路267號
台灣鐵路管理局田中站,彰化縣田中鎮中路里中州路1段1號
彰化縣田中地政事務所,彰化縣田中鎮西路里明慶街158號
彰化縣警察局田中分局,彰化縣田中鎮沙崙里興酪路1段299號
彰化縣竹塘鄉立托兒所,彰化縣竹塘鄉仁愛街98號
彰化縣竹塘鄉公所,彰化縣竹塘鄉竹林路1段305號
彰化縣伸港鄉戶政事務所,彰化縣伸港鄉大同村中興路2段197號
彰化縣伸港鄉公所,彰化縣伸港鄉大同村中興路二段201號1樓
彰化縣伸港鄉立幼兒園,彰化縣伸港鄉新港村中山東街46號
彰化縣伸港鄉立圖書館,彰化縣伸港鄉新港村中正路89號
彰化縣秀水鄉戶政事務所,彰化縣秀水鄉安東村中山路290之5號
彰化縣和美鎮立托兒所聯合班,彰化縣和美鎮忠孝路329號
彰化縣和美鎮戶政事務所,彰化縣和美鎮鹿和路6段335號
彰化縣和美鎮公所,彰化縣和美鎮鹿和路6段337號
彰化縣和美鎮立圖書館,彰化縣和美鎮道周路346號
彰化縣警察局和美分局,彰化縣和美鎮彰美路5段328號
彰化縣和美地政事務所,彰化縣和美鎮德美路515號
社頭鄉公所,彰化縣社頭鄉社斗路1段295號
社頭鄉立圖書館,彰化縣社頭鄉信義三路55號
彰化縣芬園鄉立托兒所,彰化縣芬園鄉同安村中山路139號
彰化縣芬園鄉公所,彰化縣芬園鄉社口村芬草路2段300號
彰化縣芬園鄉圖書館,彰化縣芬園鄉社口村彰南路4段25號
彰化縣花壇鄉立圖書館,彰化縣花壇鄉中正路72號
彰化縣花壇鄉公所,彰化縣花壇鄉南口村中山路2段182號
彰化監理站,彰化縣花壇鄉南口村中山路2段457號
彰化縣芳苑鄉立示範托兒所,彰化縣芳苑鄉三合村工區一路45巷83弄17號
彰化縣警察局芳苑分局,彰化縣芳苑鄉三合村斗苑路三合段522號
彰化縣芳苑鄉公所,彰化縣芳苑鄉芳苑村斗苑路202號
"彰化縣鎮立圖書館,美術館",彰化縣員林市三民街2-1號2樓
彰化縣員林市地政事務所,彰化縣員林市三和里大同路1段318號1樓
彰化縣文化局員林演藝廳,彰化縣員林市大饒里中正路2巷99號3樓
彰化地方法院,彰化縣員林市員林大道2段1號1樓
台灣鐵路管理局員林站,彰化縣員林市民權街55號1樓
員林就業中心,彰化縣員林市靜修東路33號2樓
財政部國有財產局中區辦事處彰化分處,彰化縣員林市靜修路23號2樓
財政部臺灣省中區國稅局員林稽徵所,彰化縣員林市三義里惠明街309號
彰化縣埔心鄉立幼兒園,彰化縣埔心鄉太平路336號
大潤發員林店(埔心鄉),彰化縣埔心鄉瓦南村中山路319號
彰化縣埔心鄉立圖書館,彰化縣埔心鄉義民村員鹿路2段328號
彰化縣埔心鄉公所,彰化縣埔心鄉義民村員鹿路2段344號
彰化縣埔鹽鄉公所,彰化縣埔鹽鄉中正路192號
彰化縣埤頭鄉立圖書館,彰化縣埤頭鄉文鄉路135號
彰化縣埤頭鄉公所,彰化縣埤頭鄉合興村斗苑西路138號
彰化縣鹿港地政事務所,彰化縣鹿港鎮景福里民權路152號
彰化縣鹿港鎮公所,彰化縣鹿港鎮景福里民權路168號
彰化縣溪州鄉立圖書館,彰化縣溪州鄉尾厝村溪下路4段556號
彰化縣溪州鄉公所,彰化縣溪州鄉尾厝村溪下路4段560號
彰化縣溪湖地政事務所,彰化縣溪湖鎮大公路99號
彰化縣溪湖鎮立圖書館,彰化縣溪湖鎮太平街147號
彰化縣溪湖鎮公所,彰化縣溪湖鎮湖東里青雅路58號
彰化縣警察局溪湖分局,彰化縣溪湖鎮湖東里青雅路88號
彰化縣溪湖糖廠,彰化縣溪湖鎮彰水路2段762號
臺灣鐵路管理局彰化站,彰化縣彰化市三民路1號
彰化藝術館,彰化縣彰化市中山路270號
彰化縣原住民生活館,彰化縣彰化市中山路3段266之1號
彰化縣衛生局,彰化縣彰化市中山路2段162號
彰化縣地方稅務局,彰化縣彰化市中山路2段187號
彰化縣政府,彰化縣彰化市中山路2段416號
彰化縣文化局,彰化縣彰化市中山路2段500號
彰化縣消防局,彰化縣彰化市中央路1號
彰化中央路郵局,彰化縣彰化市中央路270號
彰化縣警察總局,彰化縣彰化市中正路2段778號
彰化縣政府第二辦公大樓,彰化縣彰化市中興路100號
彰化市公所,彰化縣彰化市光復路74號
彰化縣生活美學館,彰化縣彰化市卦山路18號
彰化縣立美術館,彰化縣彰化市卦山路3號
彰化縣彰化市立圖書館,彰化縣彰化市卦山路4號
家樂福股份有限公司彰化分公司,彰化縣彰化市金馬路2段321號
彰化縣環境保護局,彰化縣彰化市建興路1號2樓
線西鄉立圖書館,彰化縣線西鄉寓埔村和線路980號
彰化縣線西鄉公所,彰化縣線西鄉和線路983號
台灣高鐵彰化站,彰化縣田中鎮站區路2段99號
彰北國民運動中心,彰化縣彰化市阿夷里13鄰建國東路2號
彰化縣鹿港鎮立體育場,彰化縣鹿港鎮埔崙里中正路531號
臺東縣衛生局,臺東縣臺東市民族里博愛路336號
臺東美術館,臺東縣臺東市民生里021鄰浙江路350號
臺東縣警察局,臺東縣臺東市文化里005鄰中山路268號
臺東縣政府,臺東縣臺東市文化里005鄰中山路276號
臺東縣立文化中心,臺東縣臺東市民族里南京路25號
臺東縣臺東地政事務所,臺東縣臺東市豐年里002鄰中興路二段735號
臺東縣臺東市公所,臺東縣臺東市文化里014鄰博愛路365號
臺東市戶政事務所,臺東縣臺東市文化里014鄰信義路291號
臺東縣政府縣民服務中心,臺東縣臺東市文化里006鄰博愛路275號
臺東縣臺東市衛生所,臺東縣臺東市復國里020鄰大同路51號
內政部入出國及移民署臺東縣服務站,臺東縣臺東市東海里014鄰長沙街59號
海洋委員會海巡署東部分署,臺東縣臺東市岩灣里017鄰興安路二段546號
行政院海岸巡防署東部地區巡防局海洋驛站,臺東縣臺東市復興里南海路191號
臺灣自來水公司第十區管理處,臺東縣臺東市建國里012鄰臨海路一段48號
臺灣臺東地方法院檢察署,臺東縣臺東市民生里021鄰浙江路310號
法務部矯正署岩灣技能訓練所,臺東縣臺東市岩灣里008鄰興安路二段642號
法務部矯正署臺東監獄,臺東縣臺東市復興里007鄰廣東路317號
臺東縣消防局,臺東縣臺東市寶桑里011鄰四維路二段100號
臺東縣議會,臺東縣臺東市豐年里002鄰中興路二段727號
臺東大同路郵局臺東901支局,臺東縣臺東市大同里大同路126號
臺灣銀行臺東分行,臺東縣臺東市中山里002鄰中山路313號
臺北榮民總醫院臺東分院,臺東縣臺東市南榮里003鄰更生路1000號
衛生福利部臺東醫院,臺東縣臺東市民權里五權街1號
財政部南區國稅局臺東分局,臺東縣臺東市中華里018鄰中山路1號
臺東縣稅務局,臺東縣臺東市豐年里002鄰中興路二段729號
國立臺東生活美學館,臺東縣臺東市中山里001鄰大同路254號
行政院農業委員會林務局臺東林區管理處,臺東縣臺東市復興里廣東路297號
行政院農業委員會林務局臺東林區管理處知本工作站,臺東縣臺東市建興里青海路四段501號
臺東地方法院,臺東縣臺東市寶桑里博愛路128號
行政院農委會臺東區農業改良場,臺東縣臺東市新興里中華路一段675號
臺東縣體育場,臺東縣臺東市東海里桂林北路52120號
臺東監理站,臺東縣臺東市豐榮里正氣北路441號
行政院農業委員會水土保持局臺東分局,臺東縣臺東市新興里012鄰中華路一段665號
台東縣旅遊中心,臺東縣臺東市鐵花村369號
勞動部勞動力發展署高屏澎東分署台東就業中心,臺東縣臺東市民族里博愛路356號
國立臺灣史前文化博物館,臺東縣臺東市豐田里博物館路1號
交通部觀光局東部海岸國家風景區管理處,臺東縣臺東市富岡里松江路一段500號
臺東縣公教會館,臺東縣臺東市民族里南京路19號
臺東市第一公有零售市場,臺東縣臺東市興國里正氣路263-1號
交通部民用航空局臺東航空站,臺東縣臺東市永樂里民航路1100號
交通部臺灣鐵路局花蓮運務段臺東站,臺東縣臺東市岩灣里岩灣路101598號
